Date,Adj Close
2021/2/5,3348.61
2021/2/4,3325.01
2021/2/3,3318.45
2021/2/2,3394
2021/2/1,3361.07
2021/1/30,3202.95
2021/1/29,3205.5
2021/1/28,3236.88
2021/1/27,3212.57
2021/1/26,3368
2021/1/25,3291.44
2021/1/22,3291
2021/1/21,3300.05
2021/1/20,3265
2021/1/19,3137
2021/1/15,3098
2021/1/14,3136
2021/1/13,3164
2021/1/12,3136
2021/1/11,3119.3999
2021/1/6,3148
2021/1/5,3212.84
2021/1/4,3178.11
2020/12/30,3287.99
2020/12/28,3285.99
2020/12/23,3190.1
2020/12/22,3206
2020/12/21,3204.07
2020/12/19,3229.45
2020/12/16,3241.25
2020/12/15,3163.5
2020/12/14,3157.5
2020/12/10,3100.51
2020/12/9,3106
2020/12/4,3160
2020/12/3,3189
2020/12/2,3204.01
2020/12/1,3218.23
2020/11/30,3179
2020/11/27,3196
2020/11/26,3187.18
2020/11/25,3191
2020/11/24,3126.4
2020/11/20,3099.4
2020/11/19,3110.3
2020/11/18,3106.5
2020/11/17,3135
2020/11/12,3111.2
2020/11/11,3139.5
2020/11/10,3032
2020/11/9,3166.88
2020/11/7,3312
2020/11/6,3310
2020/11/5,3322
2020/11/4,3241
2020/11/3,3054
2020/10/30,3037.99
2020/10/29,3151.04
2020/10/28,3179
2020/10/26,3210
2020/10/23,3215
2020/10/22,3183.78
2020/10/21,3172
2020/10/20,3223.93
2020/10/15,3343
2020/10/14,3352
2020/10/13,3450
2020/10/12,3462
2020/10/9,3296.4
2020/10/7,3199.9
2020/10/6,3098
